domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
observador.pt,0.027519972825031165,0.19487132370328134,0.3648639035854531,0.2591323415005764,502.0
www.terra.com.br,0.04228567039006351,0.22263335377464916,0.42992059745139455,0.2656964497266619,276.0
catracalivre.com.br,0.18274521752561596,0.21262703617929174,0.5053565452156493,0.17991274792775178,173.0
www.metropoles.com,0.009526710208396256,0.20753043221393813,0.46271864513070904,0.3104560107485579,172.0
veja.abril.com.br,0.01107029872134039,0.25984613527714384,0.4280178295855379,0.2863357578996393,144.0
expresso.pt,0.061327694998453926,0.17315756374043234,0.3995268627701663,0.1730432718017596,112.0
ultimosegundo.ig.com.br,-0.03130560966810966,0.22878457206938962,0.5369723063973064,0.2641856154720034,105.0
olhardigital.com.br,0.08549536178107607,0.1680630027622532,0.38262002434451414,0.20391711959783293,98.0
greensavers.sapo.pt,0.043372899501931766,0.1906632045794244,0.385766722524787,0.17943343128534467,62.0
www.infomoney.com.br,0.11940551696365649,0.15888279364891994,0.40004962414846135,0.17474680746645105,43.0
www.bbc.com,0.13569763840495547,0.22291723711676714,0.3799963221060782,0.22079047139902455,41.0
valor.globo.com,0.10009829386299975,0.1827691410191886,0.4112573847720907,0.21765648947942198,34.0
www.diariodocentrodomundo.com.br,0.018973112073112072,0.15651518854963345,0.38913215488215486,0.22843555087180045,25.0
pplware.sapo.pt,0.07350967154538583,0.14939251665887887,0.5069769978698551,0.15124687585282787,21.0
g1.globo.com,0.1525728462570568,0.17324086464380944,0.4350010759221286,0.17712000295121466,19.0
www.revistabula.com,0.029175384800384802,0.2331690982283326,0.4796073547264023,0.22817244594649833,18.0
www1.folha.uol.com.br,0.00882395382395383,0.2610799282106032,0.4398827561327561,0.39384775250274323,15.0
www.mdig.com.br,0.14692059074712135,0.10750842653273458,0.5164986784757193,0.17122344009100116,14.0
gizbr.uol.com.br,0.18055452484023912,0.08979878629128504,0.4302237940630798,0.16793327363471733,14.0
flatout.com.br,0.19100461459836457,0.11753803016873027,0.48353194644861314,0.1744606371607596,12.0
economia.ig.com.br,-0.007142857142857155,0.27434964607858087,0.26679067460317457,0.18893022251631486,12.0
www.purepeople.com.br,0.07833107864357863,0.14747349369810733,0.4408588864838865,0.23173219905256243,12.0
super.abril.com.br,0.009056712962962963,0.17791548253991465,0.3644675925925926,0.2814438995739115,12.0
www.uol.com.br,0.04611882716049382,0.1423148857821881,0.33362654320987656,0.14855576726976708,12.0
www.ouniversodatv.com,0.06492768595041322,0.11731987108175075,0.16142561983471074,0.25060451892590774,11.0
esporte.ig.com.br,0.025570294784580498,0.21058670430958154,0.40868707482993194,0.20447597280879862,10.0
whiplash.net,0.09798148148148149,0.19456787087954894,0.4527962962962963,0.23056976752270283,10.0
claudia.abril.com.br,0.35220959595959594,0.2905445970785581,0.49508026695526697,0.3265492281606772,8.0
www.conjur.com.br,0.12921150278293134,0.09390837081676631,0.45036487322201607,0.09030733590670008,7.0
www.coisasdediva.com.br,0.19268707482993194,0.27025665848716135,0.4139455782312926,0.1853017705439445,7.0
sportinforma.sapo.pt,-0.010333333333333333,0.26184140346654433,0.33150505050505047,0.26068498579746097,5.0
www.dw.com,0.022470538720538717,0.1560302465598207,0.5362289562289562,0.33683895820678,5.0
oglobo.globo.com,-0.020266666666666662,0.11048916487853257,0.3707111111111111,0.20634637067648662,5.0
www.noticiasautomotivas.com.br,-0.015833333333333338,0.16823223036425966,0.41166666666666674,0.2898514945431348,5.0
www.congressoemfoco.com.br,-0.07864583333333333,0.10489157486114817,0.43333333333333335,0.13402597868683133,4.0
rollingstone.com.br,0.06426767676767677,0.1030157570440921,0.4054292929292929,0.06150065759488769,4.0
revistacult.uol.com.br,0.21860119047619048,0.17172550273582404,0.47265873015873017,0.20031612393587384,4.0
br.ign.com,-0.07972132034632036,0.20512800686787278,0.6120400432900432,0.11714858071544813,4.0
abertoatedemadrugada.com,0.5047619047619047,0.2928861774225101,0.6809523809523809,0.30180860719030134,3.0
www.viomundo.com.br,0.08151515151515151,0.15514678023078005,0.2828282828282828,0.1958554341513756,3.0
carros.ig.com.br,0.13888888888888887,0.1272937693043289,0.2333333333333333,0.20275875100994065,3.0
corta-fitas.blogs.sapo.pt,0.13703703703703704,0.06250514382125065,0.6041666666666666,0.10565601944254975,3.0
pt.mondediplo.com,0.09629629629629628,0.16235946756447228,0.4222222222222222,0.1567415108851765,3.0
news.samsung.com,0.06737373737373738,0.06697335334412734,0.44911616161616164,0.2677138994161833,3.0
turismo.ig.com.br,0.3074074074074074,0.40674609627048136,0.5833333333333334,0.24664414311581237,3.0
obutecodanet.ig.com.br,0.3144047619047619,0.15875405078125024,0.5912698412698413,0.17811582089701375,3.0
noticiabrasil.net.br,0.075,0.10606601717798213,0.5111111111111111,0.015713484026367706,2.0
delitodeopiniao.blogs.sapo.pt,-0.0875,0.22980970388562794,0.4625,0.12374368670764585,2.0
www.insoonia.com,0.1375,0.053033008588991036,0.5444444444444444,0.21998877636914813,2.0
farofafa.com.br,-0.075,0.10606601717798213,0.16666666666666666,0.23570226039551584,2.0
www.adorocinema.com,0.1875,0.029462782549439494,0.42187499999999994,0.36091908623063357,2.0
gente.ig.com.br,-0.096875,0.004419417382415926,0.1645833333333333,0.09133462590326234,2.0
piaui.uol.com.br,-0.3125,0.4065863991822648,0.5875,0.4419417382415922,2.0
noticias.uol.com.br,0.0,1.0,0.0,1.0,1.0
setemargens.com,0.0,1.0,0.0,1.0,1.0
www.xataka.com.br,0.0,1.0,0.0,1.0,1.0
rd1.com.br,0.0,1.0,0.0,1.0,1.0
altoastral.joaobidu.com.br,0.0,1.0,0.0,1.0,1.0
www.theplayerstribune.com,0.0,1.0,0.0,1.0,1.0
brasil.uxdesign.cc,0.0,1.0,0.0,1.0,1.0
www.rfi.fr,0.0,1.0,0.0,1.0,1.0
brasilescola.uol.com.br,0.0,1.0,0.0,1.0,1.0
www.pragmatismopolitico.com.br,0.0,1.0,0.0,1.0,1.0
casa.abril.com.br,0.0,1.0,0.0,1.0,1.0
www.nsctotal.com.br,0.0,1.0,0.0,1.0,1.0
saudeemdia.com.br,0.0,1.0,0.0,1.0,1.0
f5.folha.uol.com.br,0.0,1.0,0.0,1.0,1.0
theconversation.com,0.0,1.0,0.0,1.0,1.0
www.jbox.com.br,0.0,1.0,0.0,1.0,1.0
sportbuzz.com.br,0.0,1.0,0.0,1.0,1.0
piaui.folha.uol.com.br,0.0,1.0,0.0,1.0,1.0
www.edivaldobrito.com.br,0.0,1.0,0.0,1.0,1.0
garotasestupidas.com,0.0,1.0,0.0,1.0,1.0
gd.eurisko.com.br,0.0,1.0,0.0,1.0,1.0
omny.fm,0.0,1.0,0.0,1.0,1.0
guia.melhoresdestinos.com.br,0.0,1.0,0.0,1.0,1.0
modaparahomens.com.br,0.0,1.0,0.0,1.0,1.0
natelinha.uol.com.br,0.0,1.0,0.0,1.0,1.0
www.archdaily.com.br,0.0,1.0,0.0,1.0,1.0
tecoapple.com,0.0,1.0,0.0,1.0,1.0
pt.globalvoices.org,0.0,1.0,0.0,1.0,1.0
